frame,source_frame,time,filename,detection_id,x1,y1,x2,y2,center_x,center_y,foot_x,foot_y,confidence,team_hint,orig_player_id,player_id,track_distance,x_pitch,y_pitch,team
0,1,0.0,frame_000001.jpg,0,481.35,783.9,501.15,827.67,491.25,805.78,491.25,827.67,1.0,B,1,42,,26.865,52.113,B
0,1,0.0,frame_000001.jpg,1,533.44,765.57,554.06,803.8,543.75,784.69,543.75,803.8,1.0,B,2,2,,29.736,50.61,B
0,1,0.0,frame_000001.jpg,2,535.66,726.68,551.84,758.32,543.75,742.5,543.75,758.32,1.0,B,3,2,,29.736,47.746,B
0,1,0.0,frame_000001.jpg,3,566.54,716.92,580.96,751.2,573.75,734.06,573.75,751.2,1.0,B,4,91,,31.377,47.298,B
0,1,0.0,frame_000001.jpg,4,691.26,670.85,703.74,696.03,697.5,683.44,697.5,696.03,1.0,B,5,2,,38.145,43.824,B
0,1,0.0,frame_000001.jpg,5,732.54,703.48,744.96,730.9,738.75,717.19,738.75,730.9,1.0,B,6,2,,40.4,46.02,B
0,1,0.0,frame_000001.jpg,6,777.54,682.65,789.96,709.54,783.75,696.09,783.75,709.54,1.0,B,7,2,,42.861,44.675,B
0,1,0.0,frame_000001.jpg,7,803.79,740.19,816.21,770.12,810.0,755.16,810.0,770.12,1.0,B,8,2,,44.297,48.489,B
0,1,0.0,frame_000001.jpg,8,953.79,704.27,966.21,738.54,960.0,721.41,960.0,738.54,1.0,B,9,2,,52.5,46.501,B
0,1,0.0,frame_000001.jpg,9,1006.29,704.27,1018.71,738.54,1012.5,721.41,1012.5,738.54,1.0,B,10,2,,55.371,46.501,B
0,1,0.0,frame_000001.jpg,10,968.79,727.73,981.21,757.27,975.0,742.5,975.0,757.27,1.0,B,11,2,,53.32,47.68,B
0,1,0.0,frame_000001.jpg,11,1018.36,792.86,1036.64,835.58,1027.5,814.22,1027.5,835.58,1.0,B,12,143,,56.191,52.611,B
0,1,0.0,frame_000001.jpg,12,1070.1,820.02,1089.9,867.48,1080.0,843.75,1080.0,867.48,1.0,B,13,2,,59.062,54.619,B
0,1,0.0,frame_000001.jpg,13,1161.8,757.79,1178.2,794.71,1170.0,776.25,1170.0,794.71,1.0,B,14,37,,63.984,50.037,B
0,1,0.0,frame_000001.jpg,14,1178.79,710.66,1191.21,740.59,1185.0,725.62,1185.0,740.59,1.0,B,15,2,,64.805,46.63,B
0,1,0.0,frame_000001.jpg,15,1290.94,717.39,1304.06,750.74,1297.5,734.06,1297.5,750.74,1.0,B,16,37,,70.957,47.269,B
0,1,0.0,frame_000001.jpg,16,1388.79,706.44,1401.21,736.37,1395.0,721.41,1395.0,736.37,1.0,B,17,2,,76.289,46.364,B
0,1,0.0,frame_000001.jpg,17,1471.26,785.87,1483.74,825.69,1477.5,805.78,1477.5,825.69,1.0,B,18,2,,80.801,51.988,B
1,2,0.5,frame_000002.jpg,0,480.7,787.19,501.8,832.81,491.25,810.0,491.25,832.81,1.0,B,1,42,5.14,26.865,52.436,B
1,2,0.5,frame_000002.jpg,1,540.7,769.0,561.8,808.81,551.25,788.91,551.25,808.81,1.0,B,2,2,9.02,30.146,50.925,B
1,2,0.5,frame_000002.jpg,2,574.04,716.92,588.46,751.2,581.25,734.06,581.25,751.2,1.0,B,4,91,7.5,31.787,47.298,B
1,2,0.5,frame_000002.jpg,3,540.29,725.82,554.71,759.18,547.5,742.5,547.5,759.18,1.0,B,3,2,3.85,29.941,47.8,B
1,2,0.5,frame_000002.jpg,4,695.04,670.85,707.46,696.03,701.25,683.44,701.25,696.03,1.0,B,5,2,3.75,38.35,43.824,B
1,2,0.5,frame_000002.jpg,5,732.54,703.48,744.96,730.9,738.75,717.19,738.75,730.9,1.0,B,6,2,0.0,40.4,46.02,B
1,2,0.5,frame_000002.jpg,6,777.54,682.65,789.96,709.54,783.75,696.09,783.75,709.54,1.0,B,7,2,0.0,42.861,44.675,B
1,2,0.5,frame_000002.jpg,7,811.29,735.97,823.71,765.9,817.5,750.94,817.5,765.9,1.0,B,8,2,8.61,44.707,48.223,B
1,2,0.5,frame_000002.jpg,8,952.79,704.27,967.21,738.54,960.0,721.41,960.0,738.54,1.0,B,9,2,0.0,52.5,46.501,B
1,2,0.5,frame_000002.jpg,9,1006.29,710.66,1018.71,740.59,1012.5,725.62,1012.5,740.59,1.0,B,10,2,2.05,55.371,46.63,B
1,2,0.5,frame_000002.jpg,10,969.61,731.95,980.39,761.48,975.0,746.72,975.0,761.48,1.0,B,11,2,4.21,53.32,47.945,B
1,2,0.5,frame_000002.jpg,11,1020.29,785.87,1034.71,825.69,1027.5,805.78,1027.5,825.69,1.0,B,12,143,9.89,56.191,51.988,B
1,2,0.5,frame_000002.jpg,12,1064.06,820.68,1080.94,866.82,1072.5,843.75,1072.5,866.82,1.0,B,13,2,7.53,58.652,54.578,B
1,2,0.5,frame_000002.jpg,13,1161.8,758.32,1178.2,794.18,1170.0,776.25,1170.0,794.18,1.0,B,14,37,0.53,63.984,50.004,B
1,2,0.5,frame_000002.jpg,14,1267.79,749.75,1282.21,785.87,1275.0,767.81,1275.0,785.87,1.0,B,16,37,41.72,69.727,49.481,B
1,2,0.5,frame_000002.jpg,15,1297.79,725.82,1312.21,759.18,1305.0,742.5,1305.0,759.18,1.0,B,17,2,92.85,71.367,47.8,B
1,2,0.5,frame_000002.jpg,16,1388.79,707.7,1401.21,735.12,1395.0,721.41,1395.0,735.12,1.0,B,18,2,122.51,76.289,46.285,B
1,2,0.5,frame_000002.jpg,17,1471.26,785.21,1483.74,826.35,1477.5,805.78,1477.5,826.35,1.0,B,19,20,,80.801,52.029,B
1,2,0.5,frame_000002.jpg,18,1171.29,710.86,1183.71,740.39,1177.5,725.62,1177.5,740.39,1.0,B,15,2,7.5,64.395,46.617,B
1,2,0.5,frame_000002.jpg,19,1006.29,706.44,1018.71,736.37,1012.5,721.41,1012.5,736.37,1.0,B,20,144,,55.371,46.364,B
2,3,1.0,frame_000003.jpg,0,1475.1,783.9,1494.9,827.67,1485.0,805.78,1485.0,827.67,1.0,B,19,20,7.62,81.211,52.113,B
2,3,1.0,frame_000003.jpg,1,1311.33,724.04,1328.67,760.96,1320.0,742.5,1320.0,760.96,1.0,B,17,2,15.11,72.188,47.912,B
2,3,1.0,frame_000003.jpg,2,1264.45,746.46,1285.55,789.17,1275.0,767.81,1275.0,789.17,1.0,B,16,37,3.3,69.727,49.688,B
2,3,1.0,frame_000003.jpg,3,1159.45,755.95,1180.55,796.55,1170.0,776.25,1170.0,796.55,1.0,B,14,37,2.37,63.984,50.153,B
2,3,1.0,frame_000003.jpg,4,1010.86,783.63,1029.14,827.93,1020.0,805.78,1020.0,827.93,1.0,B,12,143,7.83,55.781,52.129,B
2,3,1.0,frame_000003.jpg,5,548.2,769.0,569.3,808.81,558.75,788.91,558.75,808.81,1.0,B,2,2,7.5,30.557,50.925,B
2,3,1.0,frame_000003.jpg,6,491.95,788.38,513.05,831.62,502.5,810.0,502.5,831.62,1.0,B,1,42,11.31,27.48,52.361,B
2,3,1.0,frame_000003.jpg,7,543.16,725.36,559.34,759.64,551.25,742.5,551.25,759.64,1.0,B,3,2,3.78,30.146,47.829,B
2,3,1.0,frame_000003.jpg,8,581.54,717.39,595.96,750.74,588.75,734.06,588.75,750.74,1.0,B,4,91,7.51,32.197,47.269,B
2,3,1.0,frame_000003.jpg,9,698.79,670.85,711.21,696.03,705.0,683.44,705.0,696.03,1.0,B,5,2,3.75,38.555,43.824,B
2,3,1.0,frame_000003.jpg,10,736.29,702.22,748.71,732.15,742.5,717.19,742.5,732.15,1.0,B,6,2,3.95,40.605,46.098,B
