frame,source_frame,time,filename,detection_id,x1,y1,x2,y2,center_x,center_y,foot_x,foot_y,confidence,team_hint,player_id,track_distance
0,1,0.0,frame_000001.jpg,0,328.32,313.2,362.88,372.6,345.6,342.9,345.6,372.6,0.5,A,1,
0,1,0.0,frame_000001.jpg,1,520.32,351.0,554.88,410.4,537.6,380.7,537.6,410.4,0.5,A,2,
0,1,0.0,frame_000001.jpg,2,712.32,388.8,746.88,448.2,729.6,418.5,729.6,448.2,0.5,A,3,
0,1,0.0,frame_000001.jpg,3,904.32,313.2,938.88,372.6,921.6,342.9,921.6,372.6,0.5,A,4,
0,1,0.0,frame_000001.jpg,4,1096.32,351.0,1130.88,410.4,1113.6,380.7,1113.6,410.4,0.5,A,5,
0,1,0.0,frame_000001.jpg,5,1288.32,388.8,1322.88,448.2,1305.6,418.5,1305.6,448.2,0.5,A,6,
0,1,0.0,frame_000001.jpg,6,1480.32,313.2,1514.88,372.6,1497.6,342.9,1497.6,372.6,0.5,A,7,
0,1,0.0,frame_000001.jpg,7,443.52,351.0,478.08,410.4,460.8,380.7,460.8,410.4,0.5,A,8,
0,1,0.0,frame_000001.jpg,8,789.12,388.8,823.68,448.2,806.4,418.5,806.4,448.2,0.5,A,9,
0,1,0.0,frame_000001.jpg,9,1173.12,313.2,1207.68,372.6,1190.4,342.9,1190.4,372.6,0.5,A,10,
0,1,0.0,frame_000001.jpg,10,1441.92,351.0,1476.48,410.4,1459.2,380.7,1459.2,410.4,0.5,A,11,
0,1,0.0,frame_000001.jpg,11,328.32,572.4,362.88,631.8,345.6,602.1,345.6,631.8,0.5,B,12,
0,1,0.0,frame_000001.jpg,12,520.32,610.2,554.88,669.6,537.6,639.9,537.6,669.6,0.5,B,13,
0,1,0.0,frame_000001.jpg,13,712.32,648.0,746.88,707.4,729.6,677.7,729.6,707.4,0.5,B,14,
0,1,0.0,frame_000001.jpg,14,904.32,572.4,938.88,631.8,921.6,602.1,921.6,631.8,0.5,B,15,
0,1,0.0,frame_000001.jpg,15,1096.32,610.2,1130.88,669.6,1113.6,639.9,1113.6,669.6,0.5,B,16,
0,1,0.0,frame_000001.jpg,16,1288.32,648.0,1322.88,707.4,1305.6,677.7,1305.6,707.4,0.5,B,17,
0,1,0.0,frame_000001.jpg,17,1480.32,572.4,1514.88,631.8,1497.6,602.1,1497.6,631.8,0.5,B,18,
0,1,0.0,frame_000001.jpg,18,443.52,610.2,478.08,669.6,460.8,639.9,460.8,669.6,0.5,B,19,
0,1,0.0,frame_000001.jpg,19,789.12,648.0,823.68,707.4,806.4,677.7,806.4,707.4,0.5,B,20,
0,1,0.0,frame_000001.jpg,20,1173.12,572.4,1207.68,631.8,1190.4,602.1,1190.4,631.8,0.5,B,21,
0,1,0.0,frame_000001.jpg,21,1441.92,610.2,1476.48,669.6,1459.2,639.9,1459.2,669.6,0.5,B,22,
1,2,0.5,frame_000002.jpg,0,328.32,313.2,362.88,372.6,345.6,342.9,345.6,372.6,0.5,A,1,0.0
1,2,0.5,frame_000002.jpg,1,520.32,351.0,554.88,410.4,537.6,380.7,537.6,410.4,0.5,A,2,0.0
1,2,0.5,frame_000002.jpg,2,712.32,388.8,746.88,448.2,729.6,418.5,729.6,448.2,0.5,A,3,0.0
1,2,0.5,frame_000002.jpg,3,904.32,313.2,938.88,372.6,921.6,342.9,921.6,372.6,0.5,A,4,0.0
1,2,0.5,frame_000002.jpg,4,1096.32,351.0,1130.88,410.4,1113.6,380.7,1113.6,410.4,0.5,A,5,0.0
