frame,source_frame,time,filename,detection_id,x1,y1,x2,y2,center_x,center_y,foot_x,foot_y,confidence,team_hint,player_id,track_distance
0,1,0.0,frame_000001.jpg,0,481.35,783.9,501.15,827.67,491.25,805.78,491.25,827.67,1.0,B,1,
0,1,0.0,frame_000001.jpg,1,533.44,765.57,554.06,803.8,543.75,784.69,543.75,803.8,1.0,B,2,
0,1,0.0,frame_000001.jpg,2,535.66,726.68,551.84,758.32,543.75,742.5,543.75,758.32,1.0,B,3,
0,1,0.0,frame_000001.jpg,3,566.54,716.92,580.96,751.2,573.75,734.06,573.75,751.2,1.0,B,4,
0,1,0.0,frame_000001.jpg,4,691.73,670.85,703.27,696.03,697.5,683.44,697.5,696.03,1.0,B,5,
0,1,0.0,frame_000001.jpg,5,732.54,703.48,744.96,730.9,738.75,717.19,738.75,730.9,1.0,B,6,
0,1,0.0,frame_000001.jpg,6,777.54,682.65,789.96,709.54,783.75,696.09,783.75,709.54,1.0,B,7,
0,1,0.0,frame_000001.jpg,7,803.79,740.19,816.21,770.12,810.0,755.16,810.0,770.12,1.0,B,8,
0,1,0.0,frame_000001.jpg,8,953.79,704.27,966.21,738.54,960.0,721.41,960.0,738.54,1.0,B,9,
0,1,0.0,frame_000001.jpg,9,1006.29,704.27,1018.71,738.54,1012.5,721.41,1012.5,738.54,1.0,B,10,
0,1,0.0,frame_000001.jpg,10,968.79,727.73,981.21,757.27,975.0,742.5,975.0,757.27,1.0,B,11,
0,1,0.0,frame_000001.jpg,11,1019.06,792.86,1035.94,835.58,1027.5,814.22,1027.5,835.58,1.0,B,12,
0,1,0.0,frame_000001.jpg,12,1070.86,820.68,1089.14,866.82,1080.0,843.75,1080.0,866.82,1.0,B,13,
0,1,0.0,frame_000001.jpg,13,1161.8,757.79,1178.2,794.71,1170.0,776.25,1170.0,794.71,1.0,B,14,
0,1,0.0,frame_000001.jpg,14,1178.79,710.66,1191.21,740.59,1185.0,725.62,1185.0,740.59,1.0,B,15,
0,1,0.0,frame_000001.jpg,15,1290.94,717.39,1304.06,750.74,1297.5,734.06,1297.5,750.74,1.0,B,16,
0,1,0.0,frame_000001.jpg,16,1388.79,706.44,1401.21,736.37,1395.0,721.41,1395.0,736.37,1.0,B,17,
0,1,0.0,frame_000001.jpg,17,1471.26,785.87,1483.74,825.69,1477.5,805.78,1477.5,825.69,1.0,B,18,
1,2,0.5,frame_000002.jpg,0,480.7,787.32,501.8,832.68,491.25,810.0,491.25,832.68,1.0,B,1,5.01
1,2,0.5,frame_000002.jpg,1,540.7,769.0,561.8,808.81,551.25,788.91,551.25,808.81,1.0,B,2,9.02
1,2,0.5,frame_000002.jpg,2,574.04,716.92,588.46,751.2,581.25,734.06,581.25,751.2,1.0,B,4,7.5
1,2,0.5,frame_000002.jpg,3,540.29,726.15,554.71,758.85,547.5,742.5,547.5,758.85,1.0,B,3,3.79
1,2,0.5,frame_000002.jpg,4,698.79,670.85,711.21,696.03,705.0,683.44,705.0,696.03,1.0,B,5,7.5
1,2,0.5,frame_000002.jpg,5,732.54,703.48,744.96,730.9,738.75,717.19,738.75,730.9,1.0,B,6,0.0
1,2,0.5,frame_000002.jpg,6,811.29,735.97,823.71,765.9,817.5,750.94,817.5,765.9,1.0,B,8,8.61
1,2,0.5,frame_000002.jpg,7,953.12,704.27,966.88,738.54,960.0,721.41,960.0,738.54,1.0,B,9,0.0
1,2,0.5,frame_000002.jpg,8,1006.29,710.66,1018.71,740.59,1012.5,725.62,1012.5,740.59,1.0,B,10,2.05
1,2,0.5,frame_000002.jpg,9,969.61,731.95,980.39,761.48,975.0,746.72,975.0,761.48,1.0,B,11,4.21
1,2,0.5,frame_000002.jpg,10,1020.29,785.87,1034.71,825.69,1027.5,805.78,1027.5,825.69,1.0,B,12,9.89
1,2,0.5,frame_000002.jpg,11,1064.06,820.68,1080.94,866.82,1072.5,843.75,1072.5,866.82,1.0,B,13,7.5
1,2,0.5,frame_000002.jpg,12,1161.8,758.32,1178.2,794.18,1170.0,776.25,1170.0,794.18,1.0,B,14,0.53
1,2,0.5,frame_000002.jpg,13,1267.79,749.75,1282.21,785.87,1275.0,767.81,1275.0,785.87,1.0,B,16,41.72
