frame,source_frame,time,filename,detection_id,x1,y1,x2,y2,center_x,center_y,foot_x,foot_y,confidence,team_hint,player_id,track_distance,x_pitch,y_pitch,in_pitch,team,team_g1g2
0,1,0.0,frame_000001.jpg,0,481.35,783.9,501.15,827.67,491.25,805.78,491.25,827.67,1.0,B,1,,23.506,59.034,1,B,?
0,1,0.0,frame_000001.jpg,1,533.44,765.57,554.06,803.8,543.75,784.69,543.75,803.8,1.0,B,2,,25.456,53.717,1,B,G2
0,1,0.0,frame_000001.jpg,2,535.66,726.68,551.84,758.32,543.75,742.5,543.75,758.32,1.0,B,3,,22.39,41.634,1,B,?
0,1,0.0,frame_000001.jpg,3,566.54,716.92,580.96,751.2,573.75,734.06,573.75,751.2,1.0,B,4,,24.133,39.461,1,B,?
0,1,0.0,frame_000001.jpg,4,691.26,670.85,703.74,696.03,697.5,683.44,697.5,696.03,1.0,B,5,,30.609,19.089,1,B,?
0,1,0.0,frame_000001.jpg,5,732.54,703.48,744.96,730.9,738.75,717.19,738.75,730.9,1.0,B,6,,35.961,32.751,1,B,?
0,1,0.0,frame_000001.jpg,6,777.54,682.65,789.96,709.54,783.75,696.09,783.75,709.54,1.0,B,7,,38.919,24.746,1,B,?
0,1,0.0,frame_000001.jpg,7,803.79,740.19,816.21,770.12,810.0,755.16,810.0,770.12,1.0,B,8,,42.583,45.054,1,B,?
0,1,0.0,frame_000001.jpg,8,953.79,704.27,966.21,738.54,960.0,721.41,960.0,738.54,1.0,B,9,,53.821,35.37,1,B,?
0,1,0.0,frame_000001.jpg,9,1006.29,704.27,1018.71,738.54,1012.5,721.41,1012.5,738.54,1.0,B,10,,57.985,35.37,1,B,?
0,1,0.0,frame_000001.jpg,10,968.79,727.73,981.21,757.27,975.0,742.5,975.0,757.27,1.0,B,11,,54.734,41.319,1,B,?
0,1,0.0,frame_000001.jpg,11,1018.36,792.86,1036.64,835.58,1027.5,814.22,1027.5,835.58,1.0,B,12,,57.072,60.667,1,B,?
0,1,0.0,frame_000001.jpg,12,1070.1,820.02,1089.9,867.48,1080.0,843.75,1080.0,867.48,1.0,B,13,,59.59,66.696,1,B,?
0,1,0.0,frame_000001.jpg,13,1161.8,757.79,1178.2,794.71,1170.0,776.25,1170.0,794.71,1.0,B,14,,67.533,51.524,1,B,?
0,1,0.0,frame_000001.jpg,14,1178.79,710.66,1191.21,740.59,1185.0,725.62,1185.0,740.59,1.0,B,15,,71.538,36.053,1,B,?
0,1,0.0,frame_000001.jpg,15,1290.94,717.39,1304.06,750.74,1297.5,734.06,1297.5,750.74,1.0,B,16,,79.524,39.317,1,B,?
0,1,0.0,frame_000001.jpg,16,1388.79,706.44,1401.21,736.37,1395.0,721.41,1395.0,736.37,1.0,B,17,,88.576,34.639,1,B,?
0,1,0.0,frame_000001.jpg,17,1471.26,785.87,1483.74,825.69,1477.5,805.78,1477.5,825.69,1.0,B,18,,85.655,58.615,1,B,?
1,2,0.5,frame_000002.jpg,0,480.7,787.19,501.8,832.81,491.25,810.0,491.25,832.81,1.0,B,1,5.14,23.816,60.102,1,B,?
